Hauptkategorie;Unterkategorie1;Unterkategorie 2;Beispielanfrage ;Weiterleitungsregel
Produktanfragen ;Informationen;Girokonto;Wie kann ich ein Konto eröffnen?;Kundenberater (Namen extrahieren) 
Produktanfragen ;Informationen;Kreditkarte;Wann kommt meine neue Kreditkarte?;Kundenberater (Namen extrahieren) 
Produktanfragen ;Informationen;Nachhaltige Geldanlagen;Bieten Sie nachhaltige Investmentfonds an?;Kundenberater (Namen extrahieren) 
Qualitätsmanagement;Beschwerden;Gebühren;Warum habe ich diese hohen Kontoführungsgebühren?;Zentrale Qualitätsmanagement 
Qualitätsmanagement;Beschwerden;Servicequalität;Der Mitarbeiter war unfreundlich.;Zentrale Qualitätsmanagement 
Qualitätsmanagement;Beschwerden;Bearbeitungsdauer ;Warum dauert die Bearbeitung so lange?;Zentrale Qualitätsmanagement 
Sicherheitsrelevante Hinweise;Cyber-Betrug;Phishing;Ich habe eine verdächtige Mail bekommen.;ISB 
Sicherheitsrelevante Hinweise;Zahlungsverkehr;Auslandsbuchung;Unbekannte Abbuchung aus dem Ausland.;ISB 
Online-Banking;Endgerät;Gerätewechsel;Ich habe ein neues Smartphone “ was muss ich beachten?;GKS
Online-Banking;App;TAN-Verfahren;Meine TAN-App funktioniert nicht.;GKS
Vertrags- und Datenänderungen;Stammdatenänderung;Adressänderung;Ich bin umgezogen.;GKS
Vertrags- und Datenänderungen;Stammdatenänderung;Namensänderung ;Ich habe geheiratet.;Gks
